tasks,type,matrix,time
3,hybrid,matrices/A_n3e6_d4.mtx,3.04544
1,hybrid,matrices/A_n2e6_d4.mtx,8.22509
5,hybrid,matrices/A_n3e6_d4.mtx,1.85454
6,hybrid,matrices/A_n2e6_d4.mtx,0.966845
1,hybrid,matrices/A_n5e6_d4.mtx,21.9062
6,hybrid,matrices/A_n3e6_d4.mtx,1.47372
3,hybrid,matrices/A_n5e6_d4.mtx,5.05367
1,hybrid,matrices/A_n3e6_d4.mtx,12.3075
5,hybrid,matrices/A_n5e6_d4.mtx,2.7909
5,hybrid,matrices/A_n1e6_d4.mtx,0.622984
3,hybrid,matrices/A_n2e6_d4.mtx,2.0812
5,hybrid,matrices/A_n2e6_d4.mtx,1.17634
6,hybrid,matrices/A_n5e6_d4.mtx,2.50407
3,hybrid,matrices/A_n3e6_d4.mtx,2.98684
2,hybrid,matrices/A_n1e6_d4.mtx,1.83285
1,hybrid,matrices/A_n5e6_d4.mtx,21.2485
5,hybrid,matrices/A_n3e6_d4.mtx,1.78906
2,hybrid,matrices/A_n2e6_d4.mtx,3.69897
2,hybrid,matrices/A_n1e6_d4.mtx,1.8398
4,hybrid,matrices/A_n1e6_d4.mtx,0.79044
2,hybrid,matrices/A_n1e6_d4.mtx,1.83026
2,hybrid,matrices/A_n2e6_d4.mtx,3.66979
5,hybrid,matrices/A_n5e6_d4.mtx,5.22143
2,hybrid,matrices/A_n3e6_d4.mtx,5.59918
3,hybrid,matrices/A_n5e6_d4.mtx,5.74146
